Year,URBANISATION,AREA,Series,Value
2010,Urban,Palestine,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",91.3
2011,Urban,Palestine,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",99.4
2012,Urban,Palestine,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",100.0
2013,Urban,Palestine,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",99.7
2014,Urban,Palestine,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",98.7
2015,Urban,Palestine,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",99.2
2017,Urban,Palestine,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",99.8
2019,Urban,Palestine,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",97.8
2000,Urban,Jenin,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2002,Urban,Jenin,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2003,Urban,Jenin,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2004,Urban,Jenin,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2005,Urban,Jenin,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2006,Urban,Jenin,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2007,Urban,Jenin,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2008,Urban,Jenin,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2009,Urban,Jenin,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2010,Urban,Jenin,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2011,Urban,Jenin,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2012,Urban,Jenin,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2013,Urban,Jenin,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2014,Urban,Jenin,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2015,Urban,Jenin,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2017,Urban,Jenin,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2019,Urban,Jenin,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2000,Urban,Tubas & Northern Valleys,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2002,Urban,Tubas & Northern Valleys,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2003,Urban,Tubas & Northern Valleys,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2004,Urban,Tubas & Northern Valleys,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2005,Urban,Tubas & Northern Valleys,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2006,Urban,Tubas & Northern Valleys,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2007,Urban,Tubas & Northern Valleys,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2008,Urban,Tubas & Northern Valleys,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2009,Urban,Tubas & Northern Valleys,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2010,Urban,Tubas & Northern Valleys,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2011,Urban,Tubas & Northern Valleys,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2012,Urban,Tubas & Northern Valleys,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2013,Urban,Tubas & Northern Valleys,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2014,Urban,Tubas & Northern Valleys,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2015,Urban,Tubas & Northern Valleys,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2017,Urban,Tubas & Northern Valleys,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2019,Urban,Tubas & Northern Valleys,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2000,Urban,Tulkarm,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2002,Urban,Tulkarm,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2003,Urban,Tulkarm,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2004,Urban,Tulkarm,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2005,Urban,Tulkarm,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2006,Urban,Tulkarm,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2007,Urban,Tulkarm,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2008,Urban,Tulkarm,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2009,Urban,Tulkarm,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2010,Urban,Tulkarm,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2011,Urban,Tulkarm,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2012,Urban,Tulkarm,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2013,Urban,Tulkarm,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2014,Urban,Tulkarm,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2015,Urban,Tulkarm,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2017,Urban,Tulkarm,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2019,Urban,Tulkarm,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2000,Urban,Nablus,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2002,Urban,Nablus,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2003,Urban,Nablus,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2004,Urban,Nablus,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2005,Urban,Nablus,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2006,Urban,Nablus,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2007,Urban,Nablus,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2008,Urban,Nablus,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2009,Urban,Nablus,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2010,Urban,Nablus,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2011,Urban,Nablus,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2012,Urban,Nablus,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2013,Urban,Nablus,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2014,Urban,Nablus,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2015,Urban,Nablus,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2017,Urban,Nablus,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2019,Urban,Nablus,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2000,Urban,Qalqiliya,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2002,Urban,Qalqiliya,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2003,Urban,Qalqiliya,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2004,Urban,Qalqiliya,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2005,Urban,Qalqiliya,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2006,Urban,Qalqiliya,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2007,Urban,Qalqiliya,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2008,Urban,Qalqiliya,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2009,Urban,Qalqiliya,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2010,Urban,Qalqiliya,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2011,Urban,Qalqiliya,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2012,Urban,Qalqiliya,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2013,Urban,Qalqiliya,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2014,Urban,Qalqiliya,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2015,Urban,Qalqiliya,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2017,Urban,Qalqiliya,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2019,Urban,Qalqiliya,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2000,Urban,Salfit,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2002,Urban,Salfit,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2003,Urban,Salfit,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2004,Urban,Salfit,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2005,Urban,Salfit,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2006,Urban,Salfit,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2007,Urban,Salfit,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2008,Urban,Salfit,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2009,Urban,Salfit,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2010,Urban,Salfit,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2011,Urban,Salfit,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2012,Urban,Salfit,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2013,Urban,Salfit,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2014,Urban,Salfit,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2015,Urban,Salfit,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2017,Urban,Salfit,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2019,Urban,Salfit,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2000,Urban,Ramallah & Al-Bireh,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2002,Urban,Ramallah & Al-Bireh,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2003,Urban,Ramallah & Al-Bireh,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2004,Urban,Ramallah & Al-Bireh,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2005,Urban,Ramallah & Al-Bireh,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2006,Urban,Ramallah & Al-Bireh,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2007,Urban,Ramallah & Al-Bireh,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2008,Urban,Ramallah & Al-Bireh,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2009,Urban,Ramallah & Al-Bireh,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2010,Urban,Ramallah & Al-Bireh,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2011,Urban,Ramallah & Al-Bireh,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2012,Urban,Ramallah & Al-Bireh,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2013,Urban,Ramallah & Al-Bireh,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2014,Urban,Ramallah & Al-Bireh,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2015,Urban,Ramallah & Al-Bireh,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2017,Urban,Ramallah & Al-Bireh,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2019,Urban,Ramallah & Al-Bireh,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2000,Urban,Jericho & AL Aghwar,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2002,Urban,Jericho & AL Aghwar,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2003,Urban,Jericho & AL Aghwar,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2004,Urban,Jericho & AL Aghwar,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2005,Urban,Jericho & AL Aghwar,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2006,Urban,Jericho & AL Aghwar,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2007,Urban,Jericho & AL Aghwar,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2008,Urban,Jericho & AL Aghwar,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2009,Urban,Jericho & AL Aghwar,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2010,Urban,Jericho & AL Aghwar,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2011,Urban,Jericho & AL Aghwar,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2012,Urban,Jericho & AL Aghwar,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2013,Urban,Jericho & AL Aghwar,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2014,Urban,Jericho & AL Aghwar,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2015,Urban,Jericho & AL Aghwar,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2017,Urban,Jericho & AL Aghwar,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2019,Urban,Jericho & AL Aghwar,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2000,Urban,Jerusalem,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2002,Urban,Jerusalem,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2003,Urban,Jerusalem,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2004,Urban,Jerusalem,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2005,Urban,Jerusalem,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2006,Urban,Jerusalem,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2007,Urban,Jerusalem,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2008,Urban,Jerusalem,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2009,Urban,Jerusalem,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2010,Urban,Jerusalem,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2011,Urban,Jerusalem,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2012,Urban,Jerusalem,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2013,Urban,Jerusalem,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2014,Urban,Jerusalem,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2015,Urban,Jerusalem,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2017,Urban,Jerusalem,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2019,Urban,Jerusalem,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2000,Urban,Bethlehem,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2002,Urban,Bethlehem,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2003,Urban,Bethlehem,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2004,Urban,Bethlehem,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2005,Urban,Bethlehem,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2006,Urban,Bethlehem,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2007,Urban,Bethlehem,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2008,Urban,Bethlehem,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2009,Urban,Bethlehem,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2010,Urban,Bethlehem,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2011,Urban,Bethlehem,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2012,Urban,Bethlehem,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2013,Urban,Bethlehem,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2014,Urban,Bethlehem,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2015,Urban,Bethlehem,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2017,Urban,Bethlehem,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2019,Urban,Bethlehem,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2000,Urban,Hebron,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2002,Urban,Hebron,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2003,Urban,Hebron,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2004,Urban,Hebron,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2005,Urban,Hebron,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2006,Urban,Hebron,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2007,Urban,Hebron,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2008,Urban,Hebron,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2009,Urban,Hebron,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2010,Urban,Hebron,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2011,Urban,Hebron,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2012,Urban,Hebron,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2013,Urban,Hebron,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2014,Urban,Hebron,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2015,Urban,Hebron,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2017,Urban,Hebron,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2019,Urban,Hebron,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2000,Urban,North Gaza,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2002,Urban,North Gaza,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2003,Urban,North Gaza,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2004,Urban,North Gaza,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2005,Urban,North Gaza,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2006,Urban,North Gaza,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2007,Urban,North Gaza,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2008,Urban,North Gaza,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2009,Urban,North Gaza,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2010,Urban,North Gaza,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2011,Urban,North Gaza,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2012,Urban,North Gaza,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2013,Urban,North Gaza,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2014,Urban,North Gaza,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2015,Urban,North Gaza,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2017,Urban,North Gaza,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2019,Urban,North Gaza,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2000,Urban,Gaza,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2002,Urban,Gaza,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2003,Urban,Gaza,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2004,Urban,Gaza,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2005,Urban,Gaza,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2006,Urban,Gaza,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2007,Urban,Gaza,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2008,Urban,Gaza,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2009,Urban,Gaza,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2010,Urban,Gaza,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2011,Urban,Gaza,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2012,Urban,Gaza,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2013,Urban,Gaza,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2014,Urban,Gaza,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2015,Urban,Gaza,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2017,Urban,Gaza,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2019,Urban,Gaza,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2000,Urban,Dier Al-Balah,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2002,Urban,Dier Al-Balah,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2003,Urban,Dier Al-Balah,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2004,Urban,Dier Al-Balah,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2005,Urban,Dier Al-Balah,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2006,Urban,Dier Al-Balah,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2007,Urban,Dier Al-Balah,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2008,Urban,Dier Al-Balah,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2009,Urban,Dier Al-Balah,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2010,Urban,Dier Al-Balah,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2011,Urban,Dier Al-Balah,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2012,Urban,Dier Al-Balah,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2013,Urban,Dier Al-Balah,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2014,Urban,Dier Al-Balah,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2015,Urban,Dier Al-Balah,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2017,Urban,Dier Al-Balah,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2019,Urban,Dier Al-Balah,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2000,Urban,Khan Yunis,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2002,Urban,Khan Yunis,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2003,Urban,Khan Yunis,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2004,Urban,Khan Yunis,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2005,Urban,Khan Yunis,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2006,Urban,Khan Yunis,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2007,Urban,Khan Yunis,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2008,Urban,Khan Yunis,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2009,Urban,Khan Yunis,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2010,Urban,Khan Yunis,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2011,Urban,Khan Yunis,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2012,Urban,Khan Yunis,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2013,Urban,Khan Yunis,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
